Target Churn,Target Code,Current Bill Amt,Avg Calls,Avg Calls Weekdays,Account Age,Percent Increase MOM,Acct Plan Subtype,Complaint Code,Avg Days Delinquent,Current TechSupComplaints,Current Days OpenWorkOrders,Equipment Age,Condition of Current Handset,Avg Hours WorkOrderOpenned
Churn,1,300.898,3943.66667,4052,33,-0.5882541,Silver,Billing Problem,8.8,0,0,37,1,0
Churn,1,169.702,3378.33333,11383.3333,37,-0.4101195,Silver,Billing Problem,16.3,0,0,20,1,0
Churn,1,207.298,12627.3333,48096,37,-0.3022819,Silver,Billing Problem,15.3,0,0,10,1,0
No Churn,0,159.744,2210.66667,8183.33333,17,-0.3215259,Silver,Billing Problem,3.8,0,0,8,1,0
Churn,1,274.872,4631.66667,23681,37,-0.9320635,Silver,Call Quality,27.3,0,0,13,1,0
No Churn,0,275.418,17712,102820,29,-0.1297554,Silver,Moving,2.8,0,0,11,1,0
No Churn,0,159.744,3447.66667,15889.6667,37,-0.0474604,Silver,Moving,0,0,0,6,1,0
Churn,1,26.962,2171.33333,68540.3333,24,-0.9298246,Gold,Call Quality,35,0,0,1,1,0
No Churn,0,1217.437,27506.6667,226892.667,21,-0.314871,Silver,Billing Problem,0,0,0,13,1,0
Churn,1,61.373,6301.33333,35857.6667,37,-1,Gold,Call Quality,11.5,0,0,12,1,0
Churn,1,221.247,374.333333,8359.66667,37,-0.8731877,Silver,Call Quality,12.8,0,0,12,1,0
No Churn,0,460.616,14241,114420,27,-0.1616829,Silver,Billing Problem,12.2,0,0,5,1,0
No Churn,0,450.58,28376.6667,166326.667,27,-0.1616829,Silver,Billing Problem,12.2,0,54,8,1,0
No Churn,0,324.493,7563.66667,43294.3333,37,0.6635514,Gold,Billing Problem,13.3,0,0,37,1,0
No Churn,0,478.309,37849.3333,126168.667,37,0.45723283,Silver,Call Quality,9.7,0,55,17,1,0
No Churn,0,555.152,12552,49930.6667,37,-0.3230298,Silver,Check Account,0,0,0,4,1,0
No Churn,0,144.95,13457.3333,36806.3333,28,-0.0322759,Silver,Billing Problem,4.8,0,0,5,1,0
Churn,1,142.545,8320.66667,24092.3333,37,-0.2964522,Gold,Billing Problem,11.2,0,0,5,1,0
Churn,1,166.608,1696.66667,5694.66667,37,-1,Gold,Billing Problem,16.8,0,0,37,1,0
Churn,1,597.454,6003.66667,12407.3333,37,-0.3852532,Silver,Billing Problem,22.3,0,6,7,1,0
No Churn,0,463.073,17510.6667,118478,37,-0.2016104,Silver,Billing Problem,3,0,0,37,1,0
No Churn,0,80.587,2158.66667,6512,37,1.22222222,Gold,Check Account,0,0,0,1,1,0
No Churn,0,55.419,85,1382.33333,37,-0.1,Gold,Billing Problem,12.2,0,0,37,1,0
Churn,1,44.434,0,32,37,0,Gold,Billing Problem,36.6,0,0,37,1,0
Churn,1,242.489,4431,31271.6667,37,-0.4268657,Silver,Billing Problem,28.8,0,0,7,1,0
No Churn,0,149.357,1650.33333,4561,37,0.88709677,Gold,Moving,9.7,0,0,8,1,0
No Churn,0,132.197,2101,35025.6667,37,-0.4072096,Silver,Billing Problem,20,0,0,14,1,0
No Churn,0,460.161,4182.33333,49836.6667,37,0.52430044,Silver,Billing Problem,13.5,0,0,1,1,0
No Churn,0,261.742,17705.3333,75106.3333,29,-0.3190325,Silver,Billing Problem,14.7,0,0,13,1,0
No Churn,0,198.263,4280.66667,30493.3333,32,0.65227538,Silver,Call Quality,23,0,0,1,1,0
Churn,1,226.824,11581.3333,28141.3333,37,-0.1391586,Silver,Billing Problem,15.3,0,0,10,1,0
Churn,1,159.744,6974.66667,38860.3333,37,-0.3614865,Silver,Billing Problem,15.2,0,0,10,1,0
Churn,1,192.647,13429.6667,42607,37,-0.0736976,Silver,Billing Problem,16.6,0,0,7,1,0
Churn,1,198.042,11081.6667,30081.3333,37,-0.3440367,Silver,Billing Problem,21.3,0,0,3,1,0
Churn,1,111.8,0,0,15,0,Silver,Billing Problem,27.6,0,0,17,1,0
No Churn,0,345.215,40463.6667,94749.6667,37,-0.4247651,Silver,Moving,5,0,0,6,1,0
Churn,1,134.485,2353.66667,11721.3333,37,-1,Silver,Billing Problem,22,0,0,13,1,0
Churn,1,92.807,1336.66667,5387.66667,37,-0.147482,Gold,Billing Problem,11.5,0,0,9,1,0
Churn,1,37.011,0,221.333333,31,0,Gold,Call Quality,15,0,0,17,1,0
Churn,1,43.511,828.333333,5021.66667,37,0.71428571,Gold,Billing Problem,23.7,0,0,37,1,0
No Churn,0,75.608,173,3892,37,0.5,Gold,Billing Problem,6.2,0,0,37,1,0
No Churn,0,140.491,0,68,37,0,Gold,Call Quality,33.5,0,0,17,1,0
No Churn,0,143.455,229.333333,3209,36,-0.1923077,Gold,Billing Problem,4,0,0,10,1,0
No Churn,0,132.197,4374.66667,24166.3333,36,-0.4955752,Silver,Check Account,17.5,0,0,7,1,0
No Churn,0,375.414,7758.66667,40978.3333,36,-0.4795918,Silver,Call Quality,16.3,0,0,21,1,0
Churn,1,202.969,219.333333,2781.66667,21,0.68915929,Silver,Billing Problem,27.2,0,0,8,1,0
No Churn,0,413.283,16282,99967,36,-0.2459271,Silver,Billing Problem,6.2,0,14,3,1,0
Churn,1,75.946,5078.66667,20359,36,-0.7615894,Gold,Billing Problem,27.7,0,0,2,1,0
Churn,1,50.804,384.333333,443,36,-0.7272727,Gold,Billing Problem,23.2,0,0,36,1,0
Churn,1,344.838,2463.66667,31640.6667,36,-0.9785714,Gold,Call Quality,17.5,0,0,5,1,0
No Churn,0,175.461,805,17390,36,-0.5142857,Silver,Check Account,0,0,0,9,1,0
Churn,1,224.328,12944.6667,42413.6667,23,-1,Silver,Billing Problem,20.6,0,0,11,1,0
Churn,1,70.967,1141,7774.66667,36,0.13114754,Gold,Call Quality,32.3,0,0,8,1,0
Churn,1,211.653,11537.3333,38765,36,-0.5886834,Silver,Billing Problem,14.5,0,0,23,1,0
No Churn,0,198.302,6308.66667,49975,36,-0.65353,Silver,Billing Problem,8.3,0,74,4,1,0
Churn,1,121.719,5875,11905.3333,36,-1,Gold,Call Quality,23.5,0,0,11,1,0
Churn,1,200.72,7201.66667,46099.6667,36,-0.8259386,Silver,Billing Problem,27.3,0,0,12,1,0
Churn,1,43.511,0,0,36,0,Gold,Billing Problem,12,0,0,17,1,0
No Churn,0,422.929,3368.66667,37567,36,-0.5723014,Silver,Billing Problem,10.4,0,0,5,1,0
No Churn,0,132.197,5215.33333,12417.3333,36,-0.4,Silver,Moving,0,0,0,4,1,0
Churn,1,1050.907,11880,36920.6667,23,0.30058556,Silver,Billing Problem,15.8,0,0,7,1,0
Churn,1,185.965,13427.6667,38735,36,-0.5791229,Silver,Billing Problem,19,0,0,4,1,0
No Churn,0,69.342,6387.66667,23583.6667,36,-0.3553571,Gold,Billing Problem,17.6,0,0,12,1,0
Churn,1,143.65,8533.66667,12719,36,-0.8426966,Silver,Call Quality,62,0,0,9,1,0
No Churn,0,413.829,5833,89584.6667,26,-0.4767442,Silver,Billing Problem,4.3,0,0,26,1,0
Churn,1,197.249,11317.6667,47104.3333,31,-0.4352941,Silver,Billing Problem,32,0,0,19,1,0
Churn,1,439.335,13694,61605.3333,36,-0.4973745,Silver,Call Quality,37,0,0,10,1,0
Churn,1,137.111,1464.33333,11695.6667,36,0.6173913,Silver,Call Quality,7.3,0,0,8,1,0
Churn,1,225.225,2610.33333,21086.6667,36,-0.4059049,Silver,Call Quality,18.6,0,0,7,1,0
Churn,1,275.418,1892,11224.6667,36,-0.3698225,Silver,Billing Problem,2.7,0,0,22,1,0
No Churn,0,311.181,5135.66667,48173.3333,25,0.38970588,Silver,Billing Problem,9.2,0,0,18,1,0
No Churn,0,141.791,2032,6323.33333,36,-0.5153846,Gold,Billing Problem,4,0,0,36,1,0
No Churn,0,276.952,6166.33333,167768.333,36,-0.1922399,Silver,Billing Problem,10.7,0,0,16,1,0
Churn,1,64.688,143.333333,13310.6667,36,0.26315789,Gold,Call Quality,42.3,0,0,9,1,0
No Churn,0,210.288,8804,31799.3333,36,0.16911765,Gold,Billing Problem,1,0,0,13,1,0
No Churn,0,330.447,2506.66667,7717.66667,29,-0.6745283,Silver,Moving,8.8,0,0,13,1,0
Churn,1,220.61,2169.33333,4952.33333,18,0.36567164,Silver,Call Quality,27.5,0,0,18,1,0
No Churn,0,205.01,17806.3333,25106.3333,36,-0.1473684,Gold,Call Quality,16.3,0,0,19,1,0
No Churn,0,371.033,1499.33333,3111.33333,36,-0.2,Gold,Billing Problem,6.4,0,0,36,1,0
No Churn,0,319.163,24960.6667,78214,36,0.06866953,Silver,Call Quality,22.5,0,230,3,1,0
Churn,1,192.79,5424,36167.6667,36,0.57142857,Silver,Call Quality,25.6,0,0,12,1,0
Churn,1,752.518,12250.3333,37977.3333,36,-1,Gold,Billing Problem,15,0,0,8,1,0
Churn,1,792.311,9382,19471.6667,36,-0.9953164,Silver,Billing Problem,36.2,0,0,19,1,0
Churn,1,355.745,10495.6667,49991,36,-1,Gold,Billing Problem,18,0,0,18,1,0
No Churn,0,76.258,1652.66667,16511,36,0.125,Gold,Check Account,0,0,0,7,1,0
Churn,1,43.511,0,0,36,0,Gold,Billing Problem,14,0,0,17,1,0
No Churn,0,254.41,4259,14835.3333,36,0.33195021,Silver,Call Quality,7.7,0,0,10,1,0
Churn,1,653.016,4329,21237.6667,31,-0.5459707,Silver,Call Quality,17,0,0,20,1,0
No Churn,0,43.511,6,10,36,0,Gold,Call Quality,14,0,0,36,1,0
No Churn,0,165.971,337.333333,4945.66667,36,0.56543241,Silver,Billing Problem,8.3,0,0,2,1,0
No Churn,0,648.934,23759,99687,15,-0.3552159,Silver,Check Account,0,0,0,0,1,0
No Churn,0,275.418,3032.66667,8881.66667,36,-0.8448276,Gold,Billing Problem,7,0,0,20,1,0
No Churn,0,61.373,2867.33333,5207.66667,36,0.22182443,Silver,Billing Problem,1,0,0,2,1,0
No Churn,0,257.699,7603.33333,7343.66667,17,0.24026591,Silver,Billing Problem,4.8,0,0,17,1,0
No Churn,0,312.533,17.6666667,6886.66667,19,3.4516129,Gold,Moving,0,0,0,19,1,0
Churn,1,219.18,4657.66667,40914.6667,36,-0.2517986,Silver,Call Quality,21.3,0,0,20,1,0
Churn,1,77.116,8593.66667,40129.6667,24,-0.4727891,Silver,Billing Problem,27.5,0,0,14,1,0
No Churn,0,459.927,12179.6667,27643,36,-0.3009524,Silver,Billing Problem,9.8,0,0,2,1,0
No Churn,0,356.915,3990.33333,41229.3333,36,-0.4123971,Silver,Call Quality,27,0,0,2,1,0
No Churn,0,63.362,34.3333333,7019.33333,36,4,Gold,Call Quality,19,0,0,17,1,0
Churn,1,176.969,22259.6667,42118,26,-0.8870293,Silver,Call Quality,14.7,0,0,23,1,0
No Churn,0,88.218,3203.33333,2901,36,-0.0833333,Gold,Billing Problem,18.8,0,0,8,1,0
No Churn,0,98.774,826,8517.66667,36,0.7027027,Gold,Call Quality,9,0,0,8,1,0
Churn,1,60.112,3504.66667,15074.3333,36,0.15714286,Gold,Call Quality,22,0,17,9,1,0
No Churn,0,159.744,8791.33333,32106.6667,36,-0.5617465,Silver,Billing Problem,8,0,0,3,1,0
No Churn,0,165.256,8229,18214.6667,36,-0.4387755,Silver,Billing Problem,10.8,0,0,1,1,0
Churn,1,1118.442,1052.66667,2768.66667,36,-0.7777937,Silver,Moving,20.7,0,0,15,1,0
No Churn,0,145.067,496.666667,32790,36,-0.1627757,Silver,Billing Problem,3.5,0,0,18,1,0
No Churn,0,513.162,33619.3333,151602,36,0.12287335,Silver,Billing Problem,14.9,0,127,3,1,0
No Churn,0,95.485,7761.33333,7129.33333,36,0.2,Gold,Moving,3,0,0,13,1,0
No Churn,0,255.424,10126.3333,35223,36,0.36731255,Gold,Billing Problem,10,0,0,4,1,0
No Churn,0,43.511,145,381,36,-0.8695652,Gold,Billing Problem,8.6,0,0,1,1,0
No Churn,0,114.998,883.333333,13295,36,-0.6685083,Gold,Billing Problem,14.8,0,0,5,1,0
No Churn,0,529.737,9755.66667,92637.6667,36,-0.1565547,Silver,Moving,3,0,0,19,1,0
Churn,1,43.511,613,3987.66667,36,-0.7857143,Gold,Call Quality,30.5,0,0,10,1,0
Churn,1,86.333,741,2330,36,-1,Gold,Call Quality,3.3,0,0,35,1,0
Churn,1,293.085,1979.66667,6266.66667,27,0.26804124,Silver,Billing Problem,16.8,0,0,10,1,0
No Churn,0,397.345,19448.3333,57494,36,-0.451113,Silver,Billing Problem,13.1,0,0,11,1,0
Churn,1,55.77,5771.33333,9001.33333,36,-1,Gold,Billing Problem,27,0,0,36,1,0
No Churn,0,315.276,35597.6667,110308,34,0.02739668,Silver,Call Quality,10.4,0,0,4,1,0
No Churn,0,226.122,24879,79010,29,-0.5466377,Silver,Billing Problem,15.4,0,0,4,1,0
No Churn,0,178.412,2564.33333,11779,36,-0.4453782,Gold,Billing Problem,4.4,0,29,15,1,0
No Churn,0,321.269,5211.66667,46288.6667,18,-0.0654762,Silver,Billing Problem,13.3,0,0,9,1,0
No Churn,0,309.101,8540.66667,48037,26,-0.4167963,Silver,Billing Problem,15.7,0,0,7,1,0
No Churn,0,93.86,4997.66667,13301.6667,36,0.13114754,Gold,Billing Problem,0,0,0,0,1,0
Churn,1,552.136,2490,5761.33333,36,-1,Gold,Billing Problem,5.3,0,0,5,1,0
Churn,1,384.891,2822,41378.6667,36,-1,Silver,Billing Problem,41,0,0,15,1,0
No Churn,0,357.357,5429,30746.6667,36,0.24609375,Silver,Billing Problem,4.5,0,0,14,1,0
No Churn,0,150.93,1804,15999.3333,36,0.45945946,Gold,Moving,6.6,0,0,7,1,0
Churn,1,193.531,7986.33333,54971.3333,36,-0.4087302,Silver,Billing Problem,26.8,0,0,4,1,0
No Churn,0,205.894,4372.33333,35612,16,-0.2810148,Silver,Billing Problem,12.3,0,0,21,1,0
No Churn,0,90.818,69,2697.66667,36,-0.2,Gold,Check Account,0,0,0,36,1,0
Churn,1,277.823,3283,34528,36,-0.601998,Silver,Billing Problem,16.3,0,0,3,1,0
No Churn,0,70.967,234,140.333333,36,-0.7272727,Gold,Check Account,45.5,0,0,35,1,0
No Churn,0,163.046,13323,57334.6667,36,-0.1736011,Silver,Billing Problem,0,0,0,7,1,0
No Churn,0,62.01,723,9376,22,1.8125,Gold,Call Quality,28.7,0,0,12,1,0
No Churn,0,232.128,6816.33333,50194,36,0.68791209,Silver,Moving,0,0,0,8,1,0
Churn,1,167.388,34,3960,22,-1,Silver,Billing Problem,15.8,0,0,4,1,0
No Churn,0,387.686,19090.6667,67962.6667,36,-0.0034602,Silver,Moving,0,0,0,21,1,0
No Churn,0,62.049,298,1268.66667,36,-0.3478261,Gold,Call Quality,37.5,0,0,35,1,0
No Churn,0,220.337,14522.3333,55119.3333,36,1.10928464,Silver,Moving,7,0,0,9,1,0
Churn,1,205.751,12691,76903.6667,36,-0.7449261,Silver,Billing Problem,28.4,0,0,7,1,0
Churn,1,60.047,0,0,36,0,Gold,Call Quality,38.3,0,0,17,1,0
Churn,1,220.337,10223.6667,50869.3333,36,-1,Silver,Call Quality,23.5,0,0,21,1,0
Churn,1,128.869,818,2294,36,-1,Gold,Call Quality,37,0,0,35,1,0
No Churn,0,133.185,515.666667,493.666667,36,-0.516129,Gold,Billing Problem,17.8,0,0,17,1,0
Churn,1,187.291,3736.66667,12371.3333,22,-1,Silver,Call Quality,12.7,0,0,5,1,0
Churn,1,97.76,3043.33333,22125.3333,36,0.60465116,Gold,Check Account,0,0,0,10,1,0
No Churn,0,162.435,5648.66667,19389,19,0.06711409,Silver,Billing Problem,14,0,0,19,1,0
Churn,1,375.219,8248.33333,20132.6667,35,-0.1718783,Silver,Billing Problem,13,0,0,20,1,0
No Churn,0,244.257,10973.3333,46556,35,-0.3259259,Silver,Billing Problem,5.4,0,0,2,1,0
No Churn,0,195.442,15386.6667,26063.3333,35,-0.2375189,Silver,Billing Problem,10.7,0,0,20,1,0
No Churn,0,165.256,11547.6667,16271,35,0.35504202,Silver,Billing Problem,6,0,0,3,1,0
No Churn,0,199.953,3681,46797,35,0.6717307,Silver,Billing Problem,15.5,0,0,8,1,0
Churn,1,193.466,37.3333333,206,35,0,Gold,Billing Problem,26,0,0,17,1,0
No Churn,0,189.28,997.666667,7600,33,1.26484123,Gold,Check Account,0,0,0,33,1,0
Churn,1,165.256,13190,89301,23,-0.8732932,Silver,Call Quality,9.6,0,0,23,1,0
No Churn,0,227.89,13676,53825.3333,18,-0.7122667,Silver,Billing Problem,4,0,0,11,1,0
No Churn,0,165.997,19083.3333,59764.6667,24,0.02512563,Silver,Billing Problem,4,0,0,24,1,0
Churn,1,165.256,6406,21815.3333,35,-1,Silver,Call Quality,16.7,0,0,5,1,0
No Churn,0,159.744,5626,28956.3333,24,-0.2928881,Silver,Billing Problem,17.5,0,9,1,1,0
No Churn,0,198.575,1576,40865.3333,28,-0.2726942,Silver,Billing Problem,5.7,0,0,4,1,0
No Churn,0,443.274,2375.66667,3525.33333,35,0.05154639,Gold,Check Account,0,0,0,10,1,0
No Churn,0,62.699,481.666667,4442.33333,35,0.04347826,Gold,Billing Problem,2.5,0,0,10,1,0
Churn,1,170.768,209,178,23,-0.7272727,Silver,Billing Problem,16,0,0,22,1,0
Churn,1,612.781,980.333333,7092.33333,35,-1,Silver,Billing Problem,9.8,0,0,2,1,0
Churn,1,113.464,8622,15640,16,-1,Silver,Billing Problem,28,0,0,16,1,0
No Churn,0,425.386,6868.33333,29580.3333,35,0.59030837,Silver,Moving,2.3,0,0,16,1,0
No Churn,0,188.942,21271,52471.6667,35,-0.2212644,Silver,Check Account,0,0,0,17,1,0
No Churn,0,353.184,866,8687.33333,35,-0.6086957,Gold,Billing Problem,1,0,0,12,1,0
No Churn,0,132.509,1137.33333,4426,30,-0.1048387,Gold,Billing Problem,0,0,0,3,1,0
Churn,1,452.933,19559.6667,52555.3333,21,-0.6464646,Silver,Call Quality,19,0,0,7,1,0
No Churn,0,147.056,835.333333,5209,35,-1,Gold,Billing Problem,15,0,0,17,1,0
No Churn,0,133.575,2015.66667,29247,30,0.33928571,Silver,Billing Problem,28,0,0,16,1,0
No Churn,0,226.473,15288.6667,30684,35,0.03050398,Silver,Check Account,22.7,0,0,4,1,0
No Churn,0,267.657,665,9298.66667,35,-1,Silver,Billing Problem,0,0,0,3,1,0
Churn,1,262.301,14123.6667,102742.667,35,-0.273861,Silver,Billing Problem,36.2,0,0,11,1,0
No Churn,0,99.684,790,8824.66667,22,-0.2270742,Gold,Call Quality,4.2,0,0,6,1,0
No Churn,0,275.496,0,0,19,-0.0509552,Silver,Billing Problem,10.8,0,0,17,1,0
No Churn,0,402.922,2462,12007.3333,28,0.5678392,Gold,Call Quality,8.4,0,0,13,1,0
Churn,1,43.511,0,0,35,0,Gold,Call Quality,49.5,0,0,17,1,0
Churn,1,235.365,33926.6667,140935.333,19,-0.5908419,Silver,Billing Problem,12.7,0,0,22,1,0
Churn,1,282.022,32820.6667,111547.667,19,-0.5908419,Silver,Billing Problem,12.7,0,0,7,1,0
Churn,1,97.032,7603.33333,25733.3333,35,-0.6423841,Gold,Billing Problem,20.7,0,0,21,1,0
No Churn,0,86.203,0,636,29,-1,Gold,Billing Problem,9.9,0,9,13,1,0
No Churn,0,513.227,26377.6667,94835.3333,35,0.4516129,Silver,Billing Problem,13.4,0,244,1,1,0
No Churn,0,275.691,5734.33333,20478,17,0.635,Silver,Check Account,0,0,0,17,1,0
No Churn,0,188.851,9137.33333,33434,35,-0.2937956,Silver,Billing Problem,12.2,0,0,3,1,0
No Churn,0,164.892,22518,25027.6667,35,-0.1038136,Silver,Billing Problem,1,0,0,5,1,0
No Churn,0,91.767,488.666667,4468.66667,35,0.15384615,Gold,Call Quality,0,0,0,10,1,0
No Churn,0,397.267,22994,129592,35,0.16916996,Silver,Billing Problem,8,0,0,19,1,0
No Churn,0,165.256,7625.33333,17644,35,0.14738806,Silver,Moving,3.7,0,0,2,1,0
Churn,1,134.407,6822.33333,18863.3333,19,-1,Silver,Call Quality,20.5,0,0,2,1,0
Churn,1,225.784,28450.6667,31027.3333,27,-0.3126023,Silver,Billing Problem,26.3,0,0,2,1,0
Churn,1,137.475,1923,4921,35,-1,Gold,Billing Problem,10.5,0,0,25,1,0
No Churn,0,132.197,4066,13370,35,-0.4666667,Silver,Moving,0,0,0,12,1,0
No Churn,0,281.879,0,0,18,-0.1424419,Silver,Billing Problem,22.2,0,0,17,1,0
No Churn,0,165.256,18394,29636.6667,20,-0.5544218,Silver,Billing Problem,6.6,0,0,8,1,0
Churn,1,187.291,6099.33333,28155.6667,35,2.54545455,Silver,Billing Problem,13,0,0,16,1,0
No Churn,0,192.66,3206.33333,46170.6667,35,0.02177353,Silver,Billing Problem,18.7,0,0,4,1,0
Churn,1,281.684,39771,111047,29,-0.6555185,Silver,Billing Problem,16.7,0,0,8,1,0
No Churn,0,530.01,1646.66667,18416.3333,16,5.4927843,Silver,Call Quality,24.4,0,0,12,1,0
No Churn,0,205.504,5053.66667,29132.6667,35,-0.0601175,Silver,Billing Problem,14.3,0,0,5,1,0
No Churn,0,481.208,5952,36135.3333,35,-0.2239219,Silver,Billing Problem,17.8,0,0,11,1,0
No Churn,0,175.903,7432.66667,33585,35,0.56367925,Silver,Billing Problem,11.7,0,0,8,1,0
Churn,1,409.357,1027.66667,11396,35,-1,Gold,Billing Problem,16,0,0,35,1,0
Churn,1,81.77,0,0,35,0,Gold,Call Quality,28.6,0,0,17,1,0
No Churn,0,599.677,3074,77650.6667,35,0.08966148,Silver,Billing Problem,22.2,0,0,1,1,0
Churn,1,43.511,144.333333,418.333333,35,-1,Gold,Call Quality,18.8,0,0,35,1,0
Churn,1,323.973,24981,96847,35,-0.9956076,Silver,Billing Problem,24.2,0,0,3,1,0
Churn,1,114.504,4816.66667,17875,35,0.65717045,Silver,Call Quality,23.3,0,0,13,1,0
Churn,1,55.419,270.333333,1712.33333,35,0,Gold,Billing Problem,26,0,0,35,1,0
Churn,1,62.712,159.666667,582,35,-0.1428571,Gold,Billing Problem,10.8,0,0,35,1,0
No Churn,0,132.197,8458,27071,35,-0.3206278,Silver,Billing Problem,6.3,0,0,5,1,0
Churn,1,79.43,2441.33333,12112.6667,35,-1,Gold,Billing Problem,2.3,0,0,35,1,0
No Churn,0,75.309,3465.66667,16185.6667,35,-0.4893617,Gold,Billing Problem,0,0,0,16,1,0
Churn,1,273.104,12645.6667,21565.6667,35,-0.4714534,Silver,Billing Problem,31.5,0,0,5,1,0
Churn,1,181.077,577.333333,3361.33333,35,4.47058824,Gold,Billing Problem,13.7,0,0,16,1,0
No Churn,0,283.374,6103.33333,18131.6667,16,0.1448471,Silver,Billing Problem,1.5,0,0,12,1,0
Churn,1,570.18,17570.3333,79795.3333,35,0.10883639,Silver,Inaccurate Sales Inf,0,0,0,2,1,0
Churn,1,189.592,0,0,35,0,Gold,Billing Problem,24.5,0,0,17,1,0
No Churn,0,273.533,4827.66667,17109.6667,35,-0.7853107,Silver,Billing Problem,15,0,0,13,1,0
Churn,1,124.618,2929,6377.66667,35,1.25,Gold,Call Quality,12.7,0,0,17,1,0
Churn,1,159.744,3484.33333,17384,35,-1,Silver,Billing Problem,31.2,0,0,15,1,0
Churn,1,79.261,2945,3746.66667,35,-0.9449541,Gold,Billing Problem,4.4,0,0,11,1,0
No Churn,0,76.726,846,49151,35,5,Gold,Call Quality,28.6,0,0,13,1,0
No Churn,0,105.248,8529.66667,18139,28,1.60869565,Gold,Billing Problem,1,0,0,16,1,0
No Churn,0,171.925,18687.3333,59854.3333,24,0.02381473,Silver,Billing Problem,12.8,0,0,6,1,0
Churn,1,134.836,2328,4590.33333,35,-1,Gold,Billing Problem,3.3,0,0,4,1,0
No Churn,0,362.505,17918.3333,115135.667,35,-0.048965,Silver,Call Quality,24.5,0,0,4,1,0
No Churn,0,285.22,0,0,22,0.14893617,Silver,Check Account,0,0,0,17,1,0
No Churn,0,82.446,3257.33333,4677.66667,35,0.41891892,Gold,Billing Problem,4.4,0,0,11,1,0
Churn,1,248.573,651.333333,1157.33333,35,21.7142857,Gold,Call Quality,10.7,0,0,23,1,0
No Churn,0,146.094,1269.33333,2725,35,0.27777778,Gold,Billing Problem,1,0,0,6,1,0
No Churn,0,17.108,0,0,22,-0.2546388,Gold,Billing Problem,18.7,0,0,17,1,0
Churn,1,190.593,3345,21848.6667,35,-0.9304348,Silver,Billing Problem,9.5,0,0,21,1,0
No Churn,0,180.154,1612.66667,7060.33333,35,-0.3421053,Gold,Billing Problem,7.7,0,0,10,1,0
No Churn,0,242.19,5529,5826,30,-0.0977444,Gold,Moving,8.8,0,0,29,1,0
Churn,1,191.464,3996.33333,13370.3333,35,-1,Gold,Billing Problem,14.8,0,0,5,1,0
No Churn,0,443.781,1988.66667,4365.33333,35,0.73571429,Gold,Moving,4.7,0,0,22,1,0
No Churn,0,211.939,22810.3333,33173.6667,35,0.20720835,Silver,Billing Problem,17.8,0,0,14,1,0
No Churn,0,289.991,22606,113641.333,35,-0.1754752,Silver,Billing Problem,11.6,0,0,6,1,0
Churn,1,140.647,5090.33333,21895.6667,35,-0.5986622,Gold,Billing Problem,8.4,0,0,8,1,0
Churn,1,490.126,4755,23648.6667,21,-1,Silver,Call Quality,20.2,0,0,18,1,0
Churn,1,135.759,0,0,23,1.1751462,Silver,Billing Problem,5.7,0,0,17,1,0
No Churn,0,470.782,17952.3333,100829.333,35,0.01661631,Silver,Check Account,0,0,0,13,1,0
No Churn,0,207.766,10726.6667,68010,35,1.04829317,Silver,Billing Problem,2.2,0,0,19,1,0
Churn,1,190.19,17727.6667,123330.333,35,-0.5197214,Silver,Billing Problem,15.2,0,0,14,1,0
No Churn,0,456.235,6003.33333,26822.3333,35,0.48063128,Silver,Billing Problem,1,0,0,35,1,0
No Churn,0,523.653,12697.3333,68130.3333,35,0.01496422,Silver,Billing Problem,15.5,0,0,8,1,0
Churn,1,187.291,6217.33333,40784.3333,21,-0.2613982,Silver,Billing Problem,13.4,0,0,7,1,0
Churn,1,198.302,1717,14984.6667,21,-0.2613982,Silver,Billing Problem,13.4,0,0,15,1,0
Churn,1,170.43,1876.66667,32239,35,-0.9578207,Silver,Call Quality,26,0,0,14,1,0
No Churn,0,106.366,16186,46869.3333,35,0.31481656,Silver,Billing Problem,6,0,0,15,1,0
Churn,1,232.336,0,0,29,-0.8247966,Silver,Billing Problem,36,0,0,17,1,0
Churn,1,41.041,8272,41137,25,-1,Silver,Call Quality,26.3,0,0,25,1,0
Churn,1,427.388,2355,128390.667,35,0.13363357,Silver,Billing Problem,18.2,0,0,10,1,0
No Churn,0,223.756,9400,59581.6667,35,0.05471478,Silver,Check Account,0,0,0,3,1,0
Churn,1,234.702,15129,28723.6667,35,-1,Silver,Moving,30.3,0,0,20,1,0
Churn,1,195.585,3569.33333,28363,35,0.14869888,Silver,Billing Problem,28,0,0,3,1,0
No Churn,0,690.352,12509,192576.333,32,0.34973235,Silver,Billing Problem,6.6,0,0,18,1,0
No Churn,0,57.07,541.333333,421,34,0.43181818,Gold,Billing Problem,6,0,0,17,1,0
No Churn,0,541.801,19285.3333,71292.3333,35,0.26559607,Silver,Billing Problem,19.5,0,0,9,1,0
No Churn,0,201.916,19283.6667,114881.333,25,0.03511656,Silver,Moving,0,0,0,9,1,0
No Churn,0,231.647,6244.33333,21349.3333,34,0.17914439,Silver,Billing Problem,14.8,0,0,10,1,0
Churn,1,133.146,0,0,27,0,Silver,Billing Problem,40,0,0,17,1,0
Churn,1,272.831,11621.3333,65226,34,-1,Silver,Call Quality,24,0,0,8,1,0
No Churn,0,75.985,284.333333,4989,34,-0.0125206,Silver,Call Quality,17.3,0,0,16,1,0
